ID,Question (English),Options (English),Correct Answer,Question (Spanish),Options (Spanish)
1010,Which views are included in the DATA_SHARING_USAGE schema? (Choose two.),"A. ACCESS_HISTORY
B. DATA_TRANSFER_HISTORY
C. WAREHOUSE_METERING_HISTORY
D. MONETIZED_USAGE_DAILY
E. LISTING_TELEMETRY_DAILY",D,,
1011,What does a table with a clustering depth of 1 mean in Snowflake?,"A. The table has only 1 micro-partition.
B. The table has 1 overlapping micro-partition.
C. The table has no overlapping micro-partitions.
D. The table has no micro-partitions.",C,,
1012,Which Snowflake object contains all the information required to share a database?,"A. Private listing
B. Secure view
C. Sequence
D. Share 
Hide Answer
by  Gwo at Feb. 13, 2024, 5:05 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: D
D - straightforward
upvoted 1 times
cybe0016 months, 4 weeks ago
Correct Answer: D. Share
Share: In Snowflake, a share is a first-class object that encapsulates all the necessary information to share a database or specific objects within a
database with other Snowflake accounts. This includes the databases, schemas, tables, views, and other database objects that are being shared. The
share object allows providers to define what data to share and manage access to that shared data.
upvoted 1 times
nexerSnow9 months, 4 weeks ago
Selected Answer: D
Shares are named Snowflake objects that encapsulate all of the information required to share a database.
upvoted 1 times
Gwo10 months, 3 weeks ago
Suggested Answer:D
Community vote distribution
D (100%)
D. https://docs.snowflake.com/en/user-guide/data-sharing-intro
upvoted 1 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1013 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",D,,
1013,What is the PRIMARY factor that determines the cost of using a virtual warehouse in Snowflake?,"A. The type of SQL statements executed
B. The number of tables or databases queried
C. The amount of data stored in the warehouse
D. The length of time the compute resources in each cluster run
Hide Answer
by  Gwo at Feb. 13, 2024, 5:07 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: D
Agree with D every other answers determines costs but D is the main one
upvoted 1 times
MatthieuDN5 months, 1 week ago
Selected Answer: D
D is correct, keyword here is PRIMARY
upvoted 1 times
d22770a8 months, 2 weeks ago
Selected Answer: D
D is the primary factor
upvoted 1 times
Gwo1 year, 4 months ago
Suggested Answer:D
Community vote distribution
D (100%)
D. https://docs.snowflake.com/en/user-guide/cost-understanding-compute
upvoted 1 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1014 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",D,,
1014,"Which function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs, with a file URL that does not expire?","A. BUILD_SCOPED_FILE_URL
B. BUILD_STAGE_FILE_URL
C. GET_ABSOLUTE_PATH
D. GET_PRESIGNED_URL
Hide Answer
by  Gwo at Feb. 13, 2024, 5:09 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: B
B - Scoped and presigned expires and get absolute path isn't working like that
upvoted 1 times
d22770a8 months, 2 weeks ago
Selected Answer: B
B is correct
upvoted 1 times
charatepallavi071 year, 1 month ago
B
example: SELECT BUILD_STAGE_FILE_URL('mystage', 'path/to/file.csv') AS file_url;
upvoted 1 times
Aparna981 year, 3 months ago
Suggested Answer:B
Community vote distribution
B (100%)
bbbbbbbbb
upvoted 1 times
Gwo1 year, 4 months ago
B. BUILD_STAGE_FILE_URL(stage_name, relative_file_path)
upvoted 1 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1015 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",B,,
1015,"When a Snowflake user loads CSV data from a stage, which COPY INTO [table] command guideline should they follow?","A. The CSV field delimiter must be a comma character (‘,’).
B. The number of columns in each row should be consistent.
C. The data file in the stage must be in a compressed format.
D. The data file must have the same number of columns as the target table.",B,,
1016,A user creates a stage using the following command: CREATE STAGE mystage - DIRECTORY = (ENABLE = TRUE) FILE_FORMAT = myformat; What will be the outcome?,"A. A stage with a directory table set to automatically refresh will be created.
B. A stage with a directory table that has metadata that must be manually refreshed will be created.
C. An error will be received stating that the storage location for the stage must be identified when creating a stage with a directory table.
D. The command will fail to run because the name of the directory table is not specified.
Hide Answer
by  NachoPrendes at March 6, 2024, 1:07 p.m.
Comments
user_10111 month, 2 weeks ago
Selected Answer: B
The below command creates a directory table for an internal stage with auto refresh
https://docs.snowflake.com/en/user-guide/data-load-dirtables-auto
CREATE STAGE my_int_stage
DIRECTORY = (
ENABLE = TRUE
Suggested Answer:B
Community vote distribution
B (75%) A (25%)
AUTO_REFRESH = TRUE
);
upvoted 1 times
MatthieuDN5 months, 1 week ago
Selected Answer: B
Confused between A and B
upvoted 1 times
d22770a8 months, 2 weeks ago
Selected Answer: B
https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage
After you create a stage with a directory table, you must execute ALTER STAGE … REFRESH to manually refresh the directory table metadata.
upvoted 1 times
Yiouk1 year, 1 month ago
B. https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage
""Directory tables on internal stages require manual metadata refreshes.""
https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage#label-directory-table-auto-refreshes
""You can automatically refresh the metadata for a directory table by using the event messaging service for your cloud storage service.""
upvoted 1 times
ahadh76211 year, 1 month ago
Selected Answer: B
Answer is B.
https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage#label-directory-table-refreshes
Directory tables on internal stages require manual metadata refreshes.
This command creates an internal Snowflake stage since it doesn't specify an external cloud storage location.
I ran this command in Snowflake and it was valid and using SHOW STAGES; I validated that it was an internal stage, so the answer is B
upvoted 3 times
icegrandpa1 year, 3 months ago
Answer is A, test it in your snow account.
upvoted 2 times
NachoPrendes1 year, 4 months ago
Selected Answer: A
Checked on Snowflake
upvoted 2 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1017 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",B,,
1017,Which statistics on a Query Profile reflect the efficiency of the query pruning? (Choose two.),"A. Partitions scanned
B. Partitions total
C. Bytes scanned
D. Bytes spilled
E. Bytes written","A,B",,
1018,Which operation can be performed on Snowflake external tables?,"A. INSERT
B. JOIN
C. RENAME
D. ALTER 
Hide Answer
by  NachoPrendes at March 6, 2024, 3:54 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: B
Agree with B although it's a trick question
upvoted 1 times
MultiCloudIronMan5 months, 3 weeks ago
Selected Answer: B
Answer is asking operations, Alter is not an operation, its modification so answer is JOIN operation in a query
upvoted 1 times
Mitchdu6 months ago
Selected Answer: D
External tables can be dropped. So ALTER.
upvoted 1 times
aral7 months, 1 week ago
Selected Answer: B
Suggested Answer:D
Community vote distribution
D (75%) B (25%)
You cannot alter extrenal tables in any way
upvoted 1 times
MSIDDIQUI188 months, 2 weeks ago
Answer ""B"" is correct.
External tables are read-only. You cannot perform data manipulation language
(DML) operations on them. However, you can use external tables for query and join operations. You can also create views against external tables.
upvoted 1 times
Mitchdu6 months ago
ALTER is not a DML statement but a DDL. And yes, DDL statements like DROP is allowed. So ALTER is the answer.
upvoted 1 times
charatepallavi071 year, 1 month ago
B. JOIN
External tables in Snowflake can participate in JOIN operations with other tables, whether they are external or internal.
upvoted 2 times
ede37031 year, 2 months ago
D is correct
upvoted 1 times
VenkataPhaniPavanKumar1 year, 3 months ago
Option B is the answer.
Kindly read the question ""Which Operation can be performed""
Join is an operation in database but not alter.
upvoted 3 times
yaho51 year, 2 months ago
If ALTER is not an operation, then what is it?
upvoted 1 times
nexerSnow1 year, 3 months ago
Selected Answer: D
D is correct
upvoted 4 times
VenkataPhaniPavanKumar1 year, 3 months ago
B
External tables are read only.
https://docs.snowflake.com/en/user-guide/tables-external-
intro#:~:text=External%20tables%20are%20read%2Donly,create%20views%20against%20external%20tables.
upvoted 3 times
yaho51 year, 2 months ago
Correct, so DML operations cannot be performed (INSERT, UPDATE, DELETE).
ALTER is DDL.
If you read the link you pasted carefully, you will find ALTER EXTERNAL TABLE statement.
Answer is D
upvoted 6 times
56d43d66 months, 1 week ago
Alter external table operates on the external table's metadata, not on the data in the external table itself. but queries and joins on the
external table is allowed. B
upvoted 1 times
NachoPrendes1 year, 4 months ago
Selected Answer: D
D
https://docs.snowflake.com/en/sql-reference/sql/alter-external-table
upvoted 4 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1019 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",D,,
1019,A user wants to access files stored in a stage without authenticating into Snowflake. Which type of URL should be used?,"A. File URL
B. Staged URL
C. Scoped URL
D. Pre-signed URL",D,,
1020,Which table function is used to view all errors encountered during a previous data load?,"A. VALIDATE
B. INFER_SCHEMA
C. GENERATOR
D. QUERY_HISTORY",A,,
1021,What is the MINIMUM size requirement when creating a Snowpark-optimized virtual warehouse?,"A. X-Small
B. Small
C. Medium
D. Large",C,,
1022,Which role has the ability to create and manage users and roles?,"A. ORGADMIN
B. USERADMIN
C. SYSADMIN
D. SECURITYADMIN",B,,
1023,What issues can be identified and troubleshooted using the Query Profile? (Choose two.),"A. Full index scans
B. Cartesian products
C. Insufficient privileges
D. Queries too large to fit in memory
E. Virtual warehouse credit consumption","B,D",,
1024,What happens to the objects in a reader account when the DROP MANAGED ACCOUNT command is executed?,"A. The objects are dropped.
B. The objects enter the Fail-safe period.
C. The objects enter the Time Travel period.
D. The objects are immediately moved to the provider account.",A,,
1025,What function can be used with the recursive argument to return a list of distinct key names in all nested elements in an object?,"A. FLATTEN
B. GET_PATH
C. CHECK_JSON
D. PARSE_JSON",A,,
1026,What does Snowflake recommend when planning virtual warehouse usage for a data load?,"A. Load the fewest possible number of large files.
B. Dedicate a separate warehouse for loading data.
C. Increase the size of the warehouse used.
D. Use several single-cluster warehouses.",B,,
1027,Which Snowflake database object can be used to track data changes made to table data?,"A. Tag
B. Task
C. Stream
D. Stored procedure",C,,
1028,Who can activate and enforce a network policy for all users in a Snowflake account? (Choose two.),"A. A user with an USERADMIN or higher role
B. A user with a SECURITYADMIN or higher role
C. A role that has been granted the ATTACH POLICY privilege
D. A role that has the NETWORK_POLICY account parameter set
E. A role that has the OWNERSHIP of the network policy","B,C",,
1029,How can a data provider share their Snowflake data? (Choose two.),"A. External table
B. Snowpark API
C. Direct share
D. External function
E. Snowflake Marketplace listing","C,E",,
1030,What will prevent unauthorized access to a Snowflake account from an unknown source?,"A. Network policy
B. End-to-end encryption
C. Multi-Factor Authentication (MFA)
D. Role-Based Access Control (RBAC)",A,,
1031,Which query type is supported for implementing the search optimization service?,"A. Queries with column concatenation
B. Substring search queries on external tables
C. String searches on columns using the COLLATE function
D. Geography value column searches using geospatial functions",D,,
1032,"What Snowflake feature provides a data hub for secure data collaboration, with a selected group of invited members?","A. Data Replication
B. Secure Data Sharing
C. Data Exchange
D. Snowflake Marketplace",C,,
1033,Which semi-structured data function interprets an input string as a JSON document that produces a VARIANT value?,"A. PARSE_JSON
B. CHECK_JSON
C. JSON_EXTRACT_PATH_TEXT
D. PARSE_XML",A,,
1034,Which Snowflake data types can be used to build nested hierarchical data? (Choose two.),"A. INTEGER
B. OBJECT
C. VARIANT
D. VARCHAR
E. LIST","B,C",,
1035,Which statistics can be used to identify queries that have inefficient pruning? (Choose two.),"A. Bytes scanned
B. Bytes written to result
C. Partitions scanned
D. Partitions total
E. Percentage scanned from cache","C,D",,
1036,Which element in the Query Profile interface shows the relationship between the nodes in the execution of a query?,"A. Node List
B. Steps
C. Overview
D. Operator Tree",D,,
1037,What will happen if a Snowflake user suspends the updates to a materialized view?,"A. The queries on that view will generate an error message.
B. The queries on that view will return the last stored data.
C. The queries on that view will return the data using Time Travel.
D. The queries on that view will return the data with a warning message.",A,,
1038,Which Snowflake function will parse a JSON-null into a SQL-null?,"A. TO_CHAR
B. TO_VARIANT
C. TO_VARCHAR
D. STRIP_NULL_VALUE",D,,
1039,Which Snowflake command can be used to unload the result of a query to a single file?,"A. Use COPY INTO [external stage] followed by a GET command to download the file.
B. Use COPY INTO [internal stage] followed by a PUT command to download the file.
C. Use COPY INTO [internal stage] with SINGLE = TRUE followed by a GET command to download the file.
D. Use COPY INTO [external stage] with SINGLE = TRUE followed by a PUT command to download the file.",C,,
1040,How are micro-partitions enabled on Snowflake tables?,"A. Micro-partitioning requires a cluster key on a table.
B. Micro-partitioning is automatically performed on a table.
C. Micro-partitioning requires the use of the search optimization service.
D. Micro-partitioning is defined by the user when a table is created.",B,,
1041,What persistent data structures are used by the search optimization service to improve the performance of point lookups?,"A. Micro-partitions
B. Clustering keys
C. Equality searches
D. Search access paths",D,,
1042,Which Snowflake feature provides increased login security for users connecting to Snowflake that is powered by Duo Security service?,"A. OAuth
B. Network policies
C. Single Sign-On (SSO)
D. Multi-Factor Authentication (MFA)",D,,
1043,A user with which privileges can create or manage other users in a Snowflake account? (Choose two.),"A. GRANT
B. SELECT
C. MODIFY
D. OWNERSHIP
E. CREATE USER","D,E",,
1044,Which items are considered schema objects in Snowflake? (Choose two.),"A. Pipe
B. File format
C. Resource monitor
D. Storage integration
E. Virtual warehouse","A,B",,
1045,What does SnowCD help Snowflake users to do?,"A. Copy data into files.
B. Manage different databases and schemas.
C. Troubleshoot network connections to Snowflake.
D. Write SELECT queries to retrieve data from external tables.",C,,
1046,Awarding a user which privileges on all virtual warehouses is equivalent to granting the user the global MANAGE WAREHOUSES privilege?,"A. MODIFY, MONITOR and OPERATE privileges
B. OWNERSHIP and USAGE privileges
C. APPLYBUDGET and AUDIT privileges
D. MANAGE LISTING AUTOFULFILLMENT and RESOLVE ALL privileges",A,,
1047,A Snowflake account has activated federated authentication. What will occur when a user with a password that was defined by Snowflake attempts to log in to Snowflake?,"A. The user will be unable to enter a password.
B. The user will encounter an error, and will not be able to log in.
C. The user will be able to log into Snowflake successfully.
D. After entering the username and password, the user will be redirected to an Identity Provider (IdP) login page.",D,,
1048,Which solution improves the performance of point lookup queries that return a small number of rows from large tables using highly selective filters?,"A. Automatic clustering
B. Materialized views
C. Query acceleration service
D. Search optimization service",D,,
1049,What does a Notify & Suspend action for a resource monitor do?,"A. Send an alert notification to all account users who have notifications enabled.
B. Send an alert notification to all virtual warehouse users when thresholds over 100% have been met.
C. Send a notification to all account administrators who have notifications enabled, and suspend all assigned warehouses after all statements
being executed by the warehouses have completed.
D. Send a notification to all account administrators who have notifications enabled, and suspend all assigned warehouses immediately,
canceling any statements being executed by the warehouses.",C,,
1050,"When working with a managed access schema, who has the OWNERSHIP privilege of any tables added to the schema?","A. The database owner
B. The object owner
C. The schema owner
D. The Snowflake user's role",C,,
1051,How can a Snowsight user change a Standard virtual warehouse to a Snowpark-optimized virtual warehouse?,"A. Use the ALTER WAREHOUSE command on an active Standard virtual warehouse.
B. Use the ALTER WAREHOUSE command on an active Snowpark-optimized warehouse.
C. Use the ALTER WAREHOUSE command on a suspended Standard virtual warehouse.
D. Use the ALTER WAREHOUSE command on a suspended Snowpark-optimized warehouse.",C,,
1052,"According to best practices, which table type should be used if the data can be recreated outside of Snowflake?","A. Permanent table
B. Temporary table
C. Transient table
D. Volatile table",C,,
1053,Which function unloads data from a relational table to JSON?,"A. TO_OBJECT
B. TO_JSON
C. TO_VARIANT
D. OBJECT_CONSTRUCT",D,,
1054,What is the purpose of the STRIP_NULL_VALUES file format option when loading semi-structured data files into Snowflake?,"A. It removes null values from all columns in the data.
B. It converts null values to empty strings during loading.
C. It skips rows with null values during the loading process.
D. It removes object or array elements containing null values.",D,,
1055,Which Snowflake edition enables data sharing only through Snowflake Support?,"A. Virtual Private Snowflake
B. Business Critical
C. Enterprise
D. Standard",A,,
1056,What is the primary purpose of partitioning staged data files for regular data loads?,"A. To improve the performance of data loads
B. To compress the data for efficient storage
C. To encrypt the data for enhanced security
D. To organize the data into subfolders for easy browsing",A,,
1057,What is the minimum Snowflake Edition that supports secure storage of Protected Health Information (PHI) data?,"A. Standard Edition
B. Enterprise Edition
C. Business Critical Edition
D. Virtual Private Snowflake Edition",C,,
1058,What can a Snowflake user do to reduce queuing on a multi-cluster virtual warehouse?,"A. Increase the warehouse size.
B. Use an economy scaling policy.
C. Increase the maximum number of clusters.
D. Convert the warehouse to a Snowpark-optimized warehouse.",C,,
1059,Which statements describe benefits of Snowflake's separation of compute and storage? (Choose two.),"A. The separation allows independent scaling of computing resources.
B. The separation ensures consistent data encryption across all virtual data warehouses.
C. The separation supports automatic conversion of semi-structured data into structured data for advanced data analysis.
D. Storage volume growth and compute usage growth can be tightly coupled.
E. Compute can be scaled up or down without the requirement to add more storage.","A,E",,
1060,What should be used to show the status of partial data loads and loading errors?,"A. The COPY_HISTORY function
B. The QUERY_HISTORY function
C. The ACCESS_HISTORY view
D. The WAREHOUSE_LOAD_HISTORY function",A,,
1061,What transformations are supported when loading data into a table using the COPY INTO [table] command? (Choose two.),"A. Column reordering
B. Column omission
C. JOIN function
D. FLATTEN function
E. GROUP BY function","A,B",,
1062,Which object can be used with Secure Data Sharing?,"A. View
B. Materialized view
C. External table
D. User-Defined Function (UDF)",C,,
1063,Which parameter can be set at the account level to set the minimum number of days for which Snowflake retains historical data in Time Travel?,"A. DATA_RETENTION_TIME_IN_DAYS
B. MAX_DATA_EXTENSION_TIME_IN_DAYS
C. MIN_DATA_RETENTION_TIME_IN_DAYS
D. MAX_CONCURRENCY_LEVEL
Hide Answer
by  nexerSnow at March 23, 2024, 6:03 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: C
C is correct, A is at object level the other two simply don't do that
upvoted 1 times
MultiCloudIronMan5 months, 3 weeks ago
Selected Answer: C
Maximum is set by default
upvoted 1 times
Jacobr50007 months, 2 weeks ago
Selected Answer: C
""Used to set the minimum data retention period for retaining historical data for Time Travel operations.""
upvoted 1 times
663f98f9 months, 1 week ago
Suggested Answer:C
Community vote distribution
C (100%)
The parameter that can be set at the account level to set the minimum number of days for which Snowflake retains historical data in Time Travel is
A. DATA_RETENTION_TIME_IN_DAYS. This parameter allows you to specify how long Snowflake retains the historical data, enabling you to access
and query data from past states of tables within the specified time frame.
upvoted 1 times
56d43d66 months ago
Not quite. ""MIN_DATA_RETENTION_TIME_IN_DAYS"" is set at the account level. ""DATA_RETENTION_TIME_IN_DAYS"" is set at the object level
(database, schema, table). the question is asking for the former, so the answer is C.
upvoted 1 times
nexerSnow9 months, 2 weeks ago
Selected Answer: C
MIN_DATA_RETENTION_TIME_IN_DAYS:
Used to set the minimum data retention period for retaining historical data for Time Travel operations.
https://docs.snowflake.com/en/sql-reference/parameters
upvoted 2 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1064 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",C,,
1064,Which commands are restricted in owner's rights stored procedures? (Choose two.),"A. SHOW
B. MERGE
C. INSERT
D. DELETE
E. DESCRIBE","A,E",,
1065,What is the relationship between a Query Profile and a virtual warehouse?,"A. A Query Profile can help users right-size virtual warehouses.
B. A Query Profile defines the hardware specifications of the virtual warehouse.
C. A Query Profile can help determine the number of virtual warehouses available.
D. A Query Profile automatically scales the virtual warehouse based on the query complexity.",A,,
1066,Which transformation is supported by a COPY INTO [table] command?,"A. Filter using a WHERE clause
B. Filter using a LIMIT keyword
C. Cast using a SELECT statement
D. Order using an ORDER BY Clause",C,,
1067,How can a Snowflake administrator determine which user has accessed a database object that contains sensitive information?,"A. Review the granted privileges to the database object.
B. Review the row access policy for the database object.
C. Query the ACCESS_HISTORY view in the ACCOUNT_USAGE schema.
D. Query the REPLICATION_USAGE_HISTORY view in the ORGANIZATION_USAGE schema.",C,,
1068,How does conditional data masking work in Snowflake?,"A. It selectively masks plain text data.
B. It selectively masks multiple columns.
C. It masks all values in a given column.
D. It selectively masks a column value based on another column. 
Hide Answer
by  663f98f at March 25, 2024, 7:57 a.m.
Comments
Cecenceto8 months, 2 weeks ago
Selected Answer: A
I also thin the right answer is A.
upvoted 1 times
yaho51 year, 2 months ago
Selected Answer: C
And I think it is C. The key word in the question is 'selectively', I understand it so that the masking policy masks only part of values in a given
column, when actually the masking policy masks ALL values in a given column for a particular role.
So, if you have Role_A, you either see full values (for example: email addresses) or masked values.
upvoted 1 times
yaho51 year, 2 months ago
changing to D
upvoted 1 times
NachoPrendes1 year, 3 months ago
Suggested Answer:D
Community vote distribution
D (67%) C (17%)A (17%)
Selected Answer: D
D
https://community.snowflake.com/s/article/How-to-conditionally-mask-a-column-in-a-table-based-on-a-subquery-from-a-different-table
upvoted 4 times
663f98f1 year, 3 months ago
A. It selectively masks plain text data - because conditional data masking does involve selectively masking data based on certain conditions or
criteria. However, it's important to clarify that these conditions are often related to user roles or other security measures rather than the content of
the data itself. The key feature of conditional data masking is its ability to dynamically display either the original data or a masked version of the
data based on the evaluation of these conditions.
upvoted 2 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1069 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",D,,
1069,"If a virtual warehouse runs for 61 seconds, shuts down, and then restarts and runs for 30 seconds, for how many seconds is it billed?","A. 60
B. 91
C. 120
D. 121",D,,
1070,"What function, combined with the copy command, should be used to unload data from a relational table into a JSON file?","A. LATERAL
B. CAST
C. FLATTEN
D. OBJECT_CONSTRUCT",D,,
1071,What is the primary purpose of a directory table in Snowflake?,"A. To store actual data from external stages
B. To automatically expire file URLs for security
C. To manage user privileges and access control
D. To store file-level metadata about data files in a stage",D,,
1072,Which Snowflake table objects can be shared with other accounts? (Choose two.),"A. Temporary tables
B. Permanent tables
C. Transient tables
D. External tables
E. User-Defined Table Functions (UDTFs)","B,D",,
1073,Which metadata table will store the storage utilization information even for dropped tables?,"A. DATABASE_STORAGE_USAGE_HISTORY
B. TABLE_STORAGE_METRICS
C. STORAGE_DAILY_HISTORY
D. STAGE_STORAGE_USAGE_HISTORY",B,,
1074,How is role hierarchy established in Snowflake?,"A. By assigning users to roles
B. By default when a role is created
C. By granting one role to another role
D. By transferring ownership of one role to another role",C,,
1075,What commands can be used to see what files are stored in a stage? (Choose two.),"A. LIST
B. SELECT
C. LS
D. GET
E. DESCRIBE","A,C",,
